,11.50-13.20,,,Математический анализ Муллагалиев Э.А.1306,Информатика Ференец А.А.1303 ( с28.09 перенос на ср.13.40 в ауд. 1408),,Дискретная математика Корнеева Н.Н.1302,Алгебра и геометрия Зубкова С.К.в 1305,Информатика Салимов Р.Ф.1405,,,,,,,,,," Курс по выбору  Вычислительные эмоции Таланов М.О. в 1310 (лекция.)(5.10 в 1509 раз) ,Анализ данных Новиков П.А.(пр.) 1307",,,,,,,,Теория систем и системный анализ Каюмова А.В.1308,Теория информации и кодирования Малахов М.А.1309,,,,,,,,,,,,,11.50-13.20,,,1301-м.м.
,13.40-15.10,,,,,,,,,,,,,,,,,,,Программная инженерия Кугуракова В.В. 1408,Теория информации и кодирования Шемахин А.Ю.1301 ,Экономика Гадылшина Л.А. н.н.1302,Управление качеством разработки информационных систем  Басырова А.Р.1306,Экономика Гадылшина Л.А. ч.н.1302,Безопасность  жизнедеятельности  Купцова А.М.н.н.1303,Безопасность  жизнедеятельности  Купцова А.М.ч.н.1303,Теория информации и кодирования Салимов Ф.И.1304,Теория систем и системный анализ Каюмова А.В.1308,"Теория информации и кодирования Малахов М.А.1309(14.09-не будет с переносом на 19,и 26.09 в 17.00  в 1305",,Теория информации и кодирования Голицына И.Н.1509,,,,,,,,,,13.40-15.10,,,
,15.20-16.50, Иностранный язык (англ.яз.) Хакимзянова 1509 Ладнер 1404 Айбятова 1405 Данилова 1309 Баранова 1307 Мухаметдинова 1305 Саляхова 1308 Шпаков 1301,,,,,,,,1304 1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.20-16.50,,,
,15.20-16.50,,,,,,,,,,,,,,,,,,Управление качеством разработки информационных систем  Басырова А.Р.1306,Теория информации и кодирования Малахов М.А.1309,Программная инженерия Кугуракова В.В. 1408,Теория информации и кодирования Шемахин А.Ю.1301 ,Безопасность  жизнедеятельности  Купцова А.М.н.н.1303,Безопасность  жизнедеятельности  Купцова А.М.ч.н.1303,Экономика Гадылшина Л.А. ч.н.1302,Экономика Гадылшина Л.А. н.н.1302,Теория информации и кодирования Салимов Ф.И.в 108 к.2 ( 9 н),,,,,,,,,,,,,,15.20-16.50,,,
,17.00-18.30,,,,,,,,,,,,,,,,,,Операционные системы Валиуллин Рустам Мунурович в 108 к.2,,,,,,,,"Курс по выбору: Функциональное программирование Зиятдинов М.Т.1306,Системы постпроцессинга (дизайн)- Костюк Д.1408, Разработка для мобильных PHP Ференец А.А. 1307",,,,,,,,Теория систем и системный анализ Фазылов В.Р.(9н) 1509 с9н по 18н.,,Теория систем и системный анализ Фазылов В.Р.(9н) 1509 ч.н.(с 9н.по 18 н.),Основы технического зрения Сагитов А. 1404, Планирование и контроль программ количественной оценки Лукьяничева Е.О. 1409 (с17.30),,17.00-18.30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.40-20.10,,,,,,,,,,,,,,,,,,,,,,,,,,"Курс по выбору: Функциональное программирование Зиятдинов М.Т.1306,Системы постпроцессинга (дизайн)- Костюк Д.1408, Разработка  для мобильных приложений , PHP Ференец А.А. 1307",,,,,,,,,Теория систем и системный анализ Фазылов В.Р.(9н) 1509 с9н по 18н.,,Теория систем и системный анализ Фазылов В.Р.(9н) 1509 ч.н.(с 9н.по 18 н.),Управление рисками и поставками проекта Лукьяничева Е.О.1409,,18.40-20.10,,,
пятница,08.30-10.00,"Иностранный язык (английский язык) 
   Макаев Х.Ф. 1404,  Баранова А.Р..1302 ( с 18.09 в понед.17.00 в 1306)  ,    Газетдинов Р.Р.1304,   Сигачева Н.А.1412,    Мельникова О.К. 1405,     Саляхова Г.И. 1301( с 8.09 перенос на вторник в 15.20 в ауд.1303),   Исмагилова Г.К.1303.",,,,,,Информатика Хайруллин А.Ф.1307,,Информатика Шамсутдинова К.С.1404,Базы данных Салимов Ф.И. в 108 к.2,,,,,,,,"Операционные системы Елкин И.В.1306 ( д.з. по средам 20.09,  27.09, 4.10,11.10 в8.30 в 1306) ",Экономика Мокичев С.Д.н.н.1308 ,,,Экономика Мокичев С.Д.ч.н.1308 ( с 15.09 в 10.10. ауд 1308 ч.н.),,,,Психология Мельников А.В. 1311 к.2 ( прак. гр.2 9н.) ( 4-нед 22.09 перенос на 10 нед 3.11) 6 октября занятие будет в 1305,,,,,,,,,,,,,,08.30-10.00,пятница,,
,10.10-11.40,Физическая культура  в УНИКСе(в 10.05),,,,,,,,,"Иностранный язык ( английский язык)  Саляхова Г.И.1301, Махмутова А.Н. 1302, ИсмагиловаГ.К (гр.Аглямовой). 1303, Маршева Т.В. (гр.Переточкиной) 1304, Сакаева Л.Р.( гр. Барановой) Межлаука ауд.335, Шамсутдинова Э.Х.(гр. Еремеевой) 1405, Мартынова Е.В. 1404, Сигачева Н.А. (гр. Мельниковой)1412, Яхин М.А.1408 Сабирова Р.Н. 1309 ( гр.Ситдиковой)",,,,,,,,Экономика Мокичев С.Д. в 108 к.2 (по н.н.),,,,,,,,"Психология Мельников А.В. ( практика гр.-3 в 1311 к.2 ,9н.)(4нед. перенос на 10 нед) ( 6.10- в 1306 , Политология Фаттыхова Д.Р. в 1509 (лекция 9 н., практика 9 н.)  (с 9.09.17)",,,,,,,,,,,,,,10.10-11.40,,,
,11.50-13.20,Информатика в ауд 108 к.2  Абрамский Михаил Михайлович (н.ч. неделя),,,,,Информатика в ауд. 108 к.2 Марченко Антон Александрович ( чет. неделя) ,,,,"Факультатив от лаб. DML Разработка приложений с исползованием Unity3D Ахметшарипов Р.Д., Манахов Н.Р. в 1408",,,,,,,,"Курс по выбору:  "" Анализ данных "" Новиков П.А.""(лекция в 1310 )  ( 6.10- в 1508) "" Вычислительные эмоции"" Таланов М.О.(пр.)1309 .гр.1",,,,,,,,"Психология Мельников А.В.( практика гр.-4 в 1311 к.2 ,9н.)( 4нед. на 10.нед.)  (6.10- в 1308),   Конфликтология  Белова В.А. (практика 9н.) в 1306(15.09 и 22.09 -перносится на 10 нед и 11 нед , т.е.3.11.и 10.11 (пятн)",,,,,,,,,,,,,,11.50-13.20,,, 1404-англ.яз  1301- м.м.
